id	hunter	status	typesample	serial	year	manufacturer	model	twdb_url	image	images
5447	Ramsr	My Collection	http://typewriterdatabase.com/img/tyu-ess _5447_1447560199.jpg	16392	1920	Portex	5	http://typewriterdatabase.com/1920-portex-5.5447.typewriter	http://typewriterdatabase.com/img/thumbs/gyu-ess _5447_1447560198.jpg	3
5448	Ramsr	My Collection	NONE	3669	1904	Sun	2	http://typewriterdatabase.com/1904-sun-2.5448.typewriter	http://typewriterdatabase.com/img/thumbs/gsun _5448_1447560322.jpg	9
5449	Ramsr	My Collection	http://typewriterdatabase.com/img/tgourland _5449_1447560712.jpg	1536	1922	Gourland	1	http://typewriterdatabase.com/1922-gourland-1.5449.typewriter	http://typewriterdatabase.com/img/thumbs/ggourland _5449_1447560711.jpg	5
5450	Ramsr	My Collection	http://typewriterdatabase.com/img/trheinmetall _5450_1447561054.jpg	453348	1957	Rheinmetall	KsT	http://typewriterdatabase.com/1957-rheinmetall-kst.5450.typewriter	http://typewriterdatabase.com/img/thumbs/grheinmetall _5450_1447561054.jpg	1
5451	ORTBRAKER	My Collection	NONE	4579610	1970	Erika	40	http://typewriterdatabase.com/1970-erika-40.5451.typewriter	http://typewriterdatabase.com/img/thumbs/gerika _5451_1447630635.jpg	8
5452	ORTBRAKER	My Collection	NONE	50A90519	193X	Burroughs	Unknown	http://typewriterdatabase.com/193x-burroughs-unknown.5452.typewriter	http://typewriterdatabase.com/img/thumbs/gburroughs _5452_1447630980.jpg	3
5453	ORTBRAKER	My Collection	NONE	A10360	194X	Smith Premier	Silent	http://typewriterdatabase.com/194x-smith-premier-silent.5453.typewriter	http://typewriterdatabase.com/img/thumbs/gsmith-premier _5453_1447631290.jpg	4
5454	ORTBRAKER	My Collection	NONE	189362	1936	Rheinmetall	Portable	http://typewriterdatabase.com/1936-rheinmetall-portable.5454.typewriter	http://typewriterdatabase.com/img/thumbs/grheinmetall _5454_1447631497.jpg	3
5455	Ramsr	My Collection	http://typewriterdatabase.com/img/troyal _5455_1447637685.jpg	B-811945	1939	Royal	Speed King	http://typewriterdatabase.com/1939-royal-speed-king.5455.typewriter	http://typewriterdatabase.com/img/thumbs/groyal _5455_1447637685.jpg	1
5456	Ramsr	My Collection	http://typewriterdatabase.com/img/toliver _5456_1447637915.jpg	5335555	1953	Oliver	Portable	http://typewriterdatabase.com/1953-oliver-portable.5456.typewriter	http://typewriterdatabase.com/img/thumbs/goliver _5456_1447637915.jpg	3
